chore_name,hours,priority
membership, 2, 1
corporate_finance, 2, 1
finance_magician, 2, 1
food_mgr, 2, 1
chore_e_ographer, 2, 1
assistant_chore_e_ographer, 1, 0
maintenance_1, 2, 1
maintenance_2, 2, 1
rags_1, 0.5, 1
rags_2, 0.5, 0
appliance_clean, 0.5, 0
afternoon_dishwasher_run, 1, 0
outdoor_fridge, 0.5, 0
right_fridge, 1, 0
floor1_clean, 0.5, 0
floor2_clean, 0.5, 0
floor3_clean, 0.5, 0
floor3_deck_clean, 0.5, 0
studio_clean, 1, 0
mail_bringin_sort, 0.5, 1
snack_maker, 1, 0
deep_clean, 1, 0
organize_kitchen_shelves, 1, 0
drain/fill_hot_tub, 1, 0
vacuum_stairs_kitchen_and_main, 0.5, 0
ewaste_remover, 1, 0
free_pile_donator, 1, 0
duster_or_cobweb_sweeper, 0.5, 0
urban_ore_dump_run, 1, 0
window_cleaning, 0.5, 0
kitchen_mop, 1, 0
patio_clean, 1, 0
laundry_area_clean, 1, 0
kitchen_bathroom, 1, 0
downstairs_bathroom, 1, 0
upstairs_bathroom, 1, 1
tue_waste_mgr, 0.5, 3
wed_berkeley_bowl, 2, 1
sat_farmers_mkt, 1, 3
